,01 IT-ET Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
1808,0.00020802156941499562,0.0009762312984094024,0.3344917789101601,0.048137583397328855,0.0008463210746413098,0.0005605130398180336,0.014602341782301664,0.00037002276949351656,0.0008981560880783945,0.0002445152240397874,0.00025629785523051396,0.0004965573272784241,0.30138507932424546,0.0019773174542933704,0.00022986440671957098,2.0651593923568727,2.301252853870392
1809,0.00010887639327847865,0.13584787175059318,0.30501134097576144,1.0585709631443023,0.00014415641635423526,0.0021201052237302064,0.14053275510668756,0.00011248794071434532,0.0002594774647150189,0.00012637831387110054,0.0001790115158655681,0.00013123544558766299,0.2423751786351204,0.0028920081444084645,0.000826153886737302,1.955739814043045,0.0033276484813541175
1810,4.798000554728788e-05,0.0032543975277803837,3.8563404086744415e-05,4.4988156878389426e-05,1.8950862067868e-05,1.095355537472642e-05,0.0005035708512878045,1.654706111366977e-05,1.9363937735761282e-05,2.177328660764033e-05,2.18755214518751e-05,3.102855862380238e-05,0.004942318936809897,0.00013141741001163613,0.000189015189971542,1.0179447174072265,0.0001170685216493439
1811,0.0008671667164890096,4.0923162460327145,0.009237466286867857,0.21949466541409493,0.00026617562107276175,0.020594469737261534,0.11526636891067028,0.0023632907192222773,0.022442870028316977,0.0009009841189254076,0.0013574753131251783,0.00035972655896330256,0.0032222936395555736,0.0011111457482911647,0.0027906975941732527,0.001255070377374068,0.0006119097815826535
1812,0.0009914908558130264,0.054670699313282965,10.707310581207276,0.0011775786639191212,0.0015863497974351048,0.0057444095378741625,0.0036345470580272377,0.0025323797482997177,0.0006960481347050518,0.0007470755779650063,0.00116500057047233,0.0013729652855545282,0.004031361313536763,0.002183274691924453,0.0008585591102018952,0.0002659575256984681,0.0006038510065991432
1813,0.001238103210926056,0.0008224408666137606,14.81050238609314,0.0017357599921524526,0.0057462516473606225,0.011062366142868997,0.002010405738838017,0.004895494389347732,0.0022929207887500526,0.0009263102838303894,0.001402834290638566,0.005229997681453824,0.0003785478009376675,0.0030682597076520323,0.0002717936265980825,0.00047797137376619507,0.00044657029066002006
1814,0.0006467304250691087,0.0007694672356592492,12.035456609725951,0.000801434283494018,0.002459058817476034,0.013252273900434375,0.0015053614100906999,0.004788424703292549,0.0021482715965248644,0.0005450430326163769,0.0006198307994054631,0.0015619429002981635,0.0001486011242377572,0.0017875937221106142,0.00042450438922969624,0.0005162779591046274,0.00024650064369780017
1815,0.00036266955576138573,0.0007640315394382924,6.297851943969727,0.0007960198243381456,0.0014678544946946205,0.0023432858171872797,0.0032312517170794306,0.001571677677566186,0.0006889793672598899,0.0005605490383459255,0.0007593329180963338,0.0014907601696904748,0.003449181839823723,0.0007644369878107683,0.0014147153007797897,2.593198001384735,0.0009619066200684756
1816,0.0007656126486836001,0.0007945230667246505,6.369629812240601,0.0020920690614730122,0.0008246884564869106,0.013240846898406744,0.012931391783058644,0.0007702133414568379,0.0009538472600979731,0.0008438483695499599,0.00032404118683189155,0.0007484209607355297,0.4905032694339752,1.2655761122703553,0.028439433313906193,0.0014330113597679883,0.0007111178158083931
1817,0.0005123814626131207,0.0019873900804668666,10.423039388656616,0.0006360519299050793,0.0012192487251013518,0.0054510450456291435,0.0026756163337267936,0.0011689159146044403,0.0005221537430770695,0.0004004438640549779,0.0007075744186295197,0.000929427330265753,0.0002138296658813488,0.0012434254284016788,0.0002775942863081582,0.0003021615440957248,0.0004576363891828805
