"","32 OEC","05 OB-IMN GABA","33 Vascular","34 Immune","03 OB-CR Glut","30 Astro-Epen","31 OPC-Oligo","02 NP-CT-L6b Glut","14 HY Glut","15 HY Gnrh1 Glut","10 LSX GABA","09 CNU-LGE GABA","12 HY GABA","13 CNU-HYa Glut","06 CTX-CGE GABA","11 CNU-HYa GABA","24 MY Glut","19 MB Glut","20 MB GABA"
"1350",2.12310332534243e-10,0.959186898604925,0.000214959905875791,0.000191216359234411,4.4213852573023e-06,5.40670174751612e-07,0.000180601763916991,2.4032273325173e-09,2.583627345978e-07,0.000190077656172439,0.0170191035243469,0.0101682908245245,0.0110989388316191,0.000124070459904584,1.18626004169534e-05,0.00160633397896766,1.96137031836981e-07,1.07305319110913e-13,2.2263192518718e-06
"1351",1.44990370829875e-05,0.920417782297194,0.000684525939092719,0.00205350549332831,7.68411884430758e-06,1.02823546008577e-05,0.0553426022075155,0.00115092954347929,5.4113064734899e-05,0.000282099364127797,0.000225897627351835,0.00656390434370889,0.00929887042425816,7.90147211336829e-05,0.000837643035809958,0.00232379908464047,2.57512483179539e-06,1.57476453594098e-11,0.000650272202516651
"1352",8.78397170443776e-07,0.839775833556255,7.96405297561939e-05,0.000345926271765619,1.81634668438855e-07,1.77697873390853e-07,0.128956056681301,0.00667831780295985,1.05747033154957e-06,4.98089797836745e-09,2.33836684369076e-05,0.00532878560200243,0.00170336610811057,0.00302157226957358,0.000723101529214698,0.0133607299578041,5.11921429149973e-10,5.42469801262853e-08,9.31082976259103e-07
"1353",2.80787900883754e-10,0.79054289077427,0.204869804416769,0.000126673597008037,9.83828880820586e-07,2.24119481865679e-08,0.00424185503788587,2.92024550216115e-06,3.39671889014797e-07,3.80780606335309e-07,5.88198425893152e-07,2.46927722441096e-05,6.8926673424006e-05,3.6960653345515e-06,5.05854947111104e-06,0.000100538099635332,1.32429258417252e-06,6.21178328589685e-11,9.30424121510467e-06
"1354",5.70163060047637e-09,0.975654943524151,6.06286762745541e-05,0.000959144441729004,9.26549046160796e-06,4.91223457732714e-06,0.0119962327932574,0.000478482633915042,2.2506111875879e-05,4.12341609533228e-07,4.22746268864618e-06,0.00264637091135933,0.00353329584139631,1.98054309446415e-05,4.63238971521748e-05,0.00421158298068401,3.765029557166e-06,2.27941144052803e-13,0.000348094496507368
"1355",1.2036490847588e-07,0.785816496258583,0.000361146280051429,0.197142399881151,6.55965609633265e-07,6.77081209285315e-06,0.00509636812805064,0.000115016855766735,5.77010577327935e-07,3.45788372075705e-05,8.4331416744793e-07,0.00182002882180546,0.00031965676239338,4.54596596235435e-05,1.81864888151784e-05,0.00912566034137848,7.72887740365457e-07,6.18981520276231e-11,9.52612681790627e-05
"1356",1.5677453289103e-05,0.810889048729015,0.00092269298387166,0.070239777958387,5.30040307198376e-06,2.55788307158796e-05,0.100383453029962,0.000472003913979383,0.0001139523419029,0.000461217998640271,2.78024436865264e-05,0.00333710231370279,0.00380100599163811,0.00280246298010785,0.00083628395283873,0.00535001428738815,2.56572947574077e-07,6.14498699181483e-06,0.000310222827862646
"1357",2.48100795023119e-09,0.59915650032476,1.89097335312819e-07,0.203550564648088,6.82373967288932e-07,1.56137301260954e-08,0.181380757541596,0.01325076275578,1.23321813812126e-06,1.80935589350464e-09,2.72919076337905e-06,0.000370782776343648,0.000940015843373674,0.000225518783796364,0.000303202369447547,0.000792527332506189,1.92067038725322e-09,5.19525940530881e-11,2.45118673868101e-05
"1358",1.2865164963472e-07,0.850372594002294,0.104394161481608,0.000220724902999801,2.41160244217519e-05,5.9649903673668e-06,0.000863882496362776,0.000102497305871623,0.000610128990140949,5.00784522971277e-06,2.9626616671866e-05,0.00359426169124912,0.00701375016032791,0.0282715845261255,0.0002673309706751,0.00399993858604024,3.15110754550352e-08,1.96195429186435e-08,0.000224249627346497
"1359",1.07200912606698e-05,0.508693079783849,0.0212991893754535,0.429460123002992,3.37622141253112e-05,7.01444559549093e-07,0.000651335617469882,0.000133623518972939,3.34439743222587e-06,0.00270790184894924,3.99901665328136e-05,0.00307622019687564,0.0116054953398143,0.0097478879998352,0.00540935766470708,0.00704461035013267,3.14618299498206e-06,1.46626155606671e-12,7.95108025768985e-05
"1360",0.00770114662534605,2.42328392321519e-07,0.000350592374055625,0.000916100077324919,1.29312183857503e-05,0.969419069850627,9.97155824251636e-05,0.000225615877715008,6.81501145025455e-06,0.00126006463482421,2.84014708457211e-06,4.70114542246454e-07,1.43050079532336e-05,2.34613367124359e-08,2.84358054666834e-06,6.45511097231937e-08,2.03231791373552e-05,0.0199638715348435,2.96484289935499e-06
"1361",0.00349526938587063,0.437601816373894,0.048064445877501,0.295823801092604,2.40744041330692e-06,0.000821724809821696,0.000237599278635926,0.00194095105966336,2.36745224314294e-09,0.0390063007929622,2.98165251703449e-06,0.0843033575395184,0.0499658726268439,1.8313943461711e-07,0.00525806030892252,0.0304887624595434,1.13469658266274e-06,3.19359034970314e-12,0.00298532909462569
"1362",9.3132859870556e-05,0.276596345603744,0.00579826279063704,0.255212786778068,0.189824021327357,0.00642815460313849,0.000464597789618081,0.000209884400741863,0.106654527072679,0.00819222221644137,0.0212356518988163,0.00575307021111612,0.00564632260845081,0.0177833315814163,0.0101634856314199,0.00314249114112153,0.0429158664096737,5.72667605588595e-07,0.0438852724080842
