"","05 OB-IMN GABA","13 CNU-HYa Glut","34 Immune","32 OEC","03 OB-CR Glut","33 Vascular","31 OPC-Oligo","30 Astro-Epen","09 CNU-LGE GABA","06 CTX-CGE GABA","10 LSX GABA","12 HY GABA","02 NP-CT-L6b Glut","29 CB Glut"
"1464",5.47545609659392e-05,0.00315418644763776,0.00424237180375283,0.982962519458262,3.60971318995322e-08,0.00924597109824974,1.23545294765909e-06,0.000183613480159559,1.18963832894471e-05,8.21710620754613e-05,1.94934414842242e-06,5.14278951010874e-05,7.37307011015954e-06,4.93846167653803e-07
"1465",8.97573195985285e-05,9.59346076322396e-05,0.00722825611258567,0.900541715121509,1.36430033549078e-05,0.000239380220880769,0.000826067301872097,0.0822719875499422,0.00817732730566668,4.1722838231229e-06,1.9342523156775e-06,7.72457394621923e-05,0.000432576390902083,2.79045436842527e-09
"1466",0.000149046805201901,0.00105576143188279,0.00191444266529285,0.978297514418327,1.08058127699802e-06,0.00266908128666244,0.00446219840545468,0.00961442335894306,0.0007177431917849,4.79609983569309e-07,2.19124508434994e-06,0.000131120000886102,0.000982624755312641,2.29224390664147e-06
"1467",1.63286257819568e-06,0.000890183539176113,0.0127809632977918,0.928308886153193,1.7012193162842e-07,0.00122135148324564,4.94679083191352e-05,0.0565559610870733,4.12006282202532e-06,4.33987820762224e-06,1.29557560265199e-07,2.15935229646414e-05,0.000160619678753041,5.80846383512722e-07
"1468",3.37171652001538e-07,6.33091431458624e-06,0.00529010126704905,0.207004551313896,3.07568849647516e-08,0.651050955559659,0.061045246467905,0.00300098636062981,2.80911265529943e-05,1.24045015614277e-06,2.47960101647317e-07,9.40516958853533e-07,0.00999612143345152,0.0625748187007884
"1469",2.70883845105725e-07,0.00263956703177801,0.0311201382611339,0.949908744001664,4.52169743864138e-05,0.0058207202956186,8.18647109616589e-05,0.0101596266392818,6.91467257598708e-05,1.6001166190398e-05,8.26039582335063e-06,3.19934380077348e-05,4.23054322615228e-05,5.61440432879677e-05
"1470",4.8204742990128e-07,0.167012948611386,0.00109422121199318,0.786796548675044,2.80328909835815e-05,0.0125110030065738,0.01135586540238,0.000510137962157863,4.17397185766379e-06,0.00176795832023992,5.28479966839719e-07,0.00182516483257978,0.00102561691133795,0.0160673176760695
"1472",0.165602316569174,0.000652413305999746,0.0148804581930216,0.00249632003253586,0.00317060523733541,0.00479969613997368,0.00101725095207226,0.322262687884248,0.0257902269867658,0.0463936883639429,0.113912243688469,0.281582324676106,4.79986595788717e-05,0.0173917693107774
"1473",0.355085794801816,8.22176436569807e-08,0.288159591591192,1.17256001956772e-08,0.000456902973701888,5.59249985724955e-07,0.000123277058419317,0.000581213626676673,0.0592721276528069,0.0891334547692189,0.0472976664042736,0.145813075763246,1.79650748909096e-05,0.0140582770905275
"1474",0.0713233796001519,0.0699656388285873,0.000738164071682563,0.0398364071435496,0.3404492759727,6.28856781602758e-05,0.0648510822859726,0.0167306878833316,0.0169671800831408,0.0838658694088708,0.17104190269293,0.113699948690124,0.00331771751696833,0.00714986014382915
"1475",0.34502381441374,0.000276260895862341,0.00327980566938561,0.000290507201875923,0.0870044191664547,0.00391266989686891,0.00260414782667621,0.0170711370542443,0.0979042711042261,0.0888408037913053,0.227842334445336,0.113547997939037,0.000121848116273905,0.0122799824787135
"1476",0.226582865778705,1.26499470797821e-05,0.211433692285632,0.000145176311252474,0.154023012229542,3.70539402895129e-05,0.00169554105897892,0.104888586043584,0.061545458761625,0.043946182617984,0.0499269250942561,0.1427670748162,0.00171924367430856,0.00127653744056233
"1478",0.000250946374035763,4.20614048900328e-06,0.00183332555052089,0.00316611198778895,5.20901732593614e-06,0.46366704159301,0.000150894955940425,0.50625618849092,0.000823414470611645,1.93839231032397e-06,3.82677069356278e-05,4.05830638440882e-06,0.00292344710436033,0.0208749499093668
"1479",8.96177014686836e-08,0.00252068986453077,0.000503601390261002,0.0586796339804671,0.00589422456802028,0.00114233923202605,0.00189991675112898,0.902789475661238,2.39871889606474e-08,0.000193502850412186,0.00282040154785661,2.53921801450511e-05,0.0231589155125098,0.00037179285651361
"1480",2.49993487164607e-05,0.000305126113165323,0.0266151673278042,0.00755762776939964,0.752738545779432,0.00401062471573045,5.73518795254929e-05,0.195076476184992,0.00215208135117574,0.00019840772632941,0.00878269334869609,0.000450912357318552,0.00181752846363816,0.000212457634076186
"1481",0.68354051569629,0.000258491097790314,0.152497789030818,8.27915330781438e-05,0.00271644489856388,0.0217037026776702,0.00071793168760862,0.0908689324041561,0.00632147044473278,3.35081059703053e-05,0.000453842206633516,0.00155947200103209,0.0367441384877972,0.00250096972785908
"1482",0.879215314352017,0.000588250786025559,0.000841658548660142,0.000262926898242015,2.05295725907703e-05,0.012545307135685,0.00171562069280166,0.0903192975963926,0.00233851775251731,0.000407934093021444,3.77780528642555e-05,0.000430872779249,0.0105297714964567,0.000746220243476085
"1483",0.799595361978414,0.0105155466914142,0.0136052486377678,1.26845205566876e-07,6.34826874905788e-06,0.042660185001471,3.99636448292714e-05,4.6547171193232e-10,0.106638159830764,3.43757040476382e-05,7.47373717361942e-05,0.000281576635914932,0.0102447465108815,0.0163036224133327
"1484",0.978469490271518,1.74871460655006e-06,2.46422208374469e-06,2.56793822309273e-08,2.81671336764448e-07,5.77660062481494e-08,8.1963798690622e-05,2.19909943704289e-08,0.00181955607076913,6.95934865001995e-07,7.06855899679931e-08,1.65994274530869e-06,0.019621945110891,1.81405213910506e-08
"1485",0.985978689982291,2.68661358294357e-06,4.52715260486079e-05,8.81463744092516e-10,0.000101096719183929,1.86460084080116e-06,0.000190414318591983,7.16587201796901e-08,0.00968035311191651,0.000665133626849724,7.81066672097846e-05,0.000221845332896,0.00303376656739046,6.9839301447929e-07
