,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,09 CNU-LGE GABA,10 LSX GABA,12 HY GABA,13 CNU-HYa Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
82,0.002003350772429258,0.01183774285018444,13.572879838943482,0.005550531577318907,0.0021819432731717825,0.026911498699337243,0.21229900643229485,0.0010346070223022253,0.0009750044700922446,0.4869984373450279,0.4088861867785454,0.01700296178460121,0.0015310010523535312,0.002685442054644227
83,0.0010728926165029407,0.2115051604807377,4.752898335456848,0.0024189056712202728,0.0008808112674159929,0.0035878786933608354,0.0011360288714058699,0.0008758651791140438,0.0026753765530884268,0.019104975927621125,0.014969643205404282,0.00029397906619124117,2.4268515348434447,0.01277999128215015
84,0.002246554964222014,2.723388671875,8.93601393699646,0.002491872804239392,0.010635587852448225,0.039143096655607224,0.2613374099135399,0.0015574980759993195,0.0028171104611828925,0.5847963601350784,0.00869654305279255,0.0010897065221797675,0.6741817742586136,0.5658633172512054
85,0.0004174800473265351,10.46042275428772,0.0002016432845266536,0.0012555737572256475,0.0007098806818248705,0.0043347153114154935,0.0019984641810879113,0.0010560779599472882,0.0021491425461135807,0.03396050166338682,0.0015980190597474574,0.01808123681694269,0.06281808782368899,0.004051498044282198
86,0.0007711274898611009,3.5709351897239685,1.8409075915813446,0.00916329799219966,0.0016108039591927082,0.0022043718257918955,0.0017491353733930738,0.0009144212730461731,0.0006315439386526123,2.8350547194480895,0.04992627128958702,0.00326612793141976,0.002628805523272604,0.0010235723748337477
87,0.0003117222760920413,3.9490193843841555,0.01852352134883404,0.0014011972234584391,0.00039100827561924236,0.0006516164896311239,0.0006406763597624377,0.0002842431902536191,0.00040511878469260413,0.6615823745727539,0.0014076134248171002,0.00044410911068553104,2.1550193667411803,0.002289583953097463
88,4.641366940631997e-05,0.0005557239637710154,0.8709181934595108,0.11017205901443959,0.00016095728860818782,9.67309362749802e-05,0.00015718513532192446,6.890654403832742e-05,5.7524466137692797e-05,0.003098892164416611,0.0011873813637066633,0.00020903620825265534,0.0003023697398020886,0.00013823870976921172
89,2.35767503909301e-05,1.4659714877605439,8.947304268076551e-05,5.1943422295153145e-05,4.246977096045157e-05,4.66925288492348e-05,5.280045752442675e-05,4.6100298095552714e-05,1.4365587685460924e-05,0.001463204890023917,0.0001584324665600434,0.0001283639961911831,0.00022675859945593403,0.00010397162186563947
91,0.00011178941676917021,4.701412320137024,0.00015569095849059524,0.00023364185544778597,0.00011774611375585664,0.0004632399693946354,0.00028855158598162234,0.00023786817982909272,0.0003038579976418987,0.02255146224051714,0.0010579001333098858,0.0002062054270936642,2.1202854752540587,0.0021674903109669685
93,8.745101831664217e-06,9.06535551621346e-05,8.209199950215408e-05,1.9821803289232775e-05,1.2276139750611037e-05,1.703466368780937e-05,3.7796500328113326e-05,1.9699336189660246e-05,1.0401133249615671e-05,1.005155438184738,0.00021799794412800111,0.00015952465691952968,0.0007371929561486468,6.861424408270978e-05
94,6.267632270464673e-05,0.000818255019839853,2.74717937707901,0.00020721996697830038,0.00022480513216578403,0.0002387547807302326,7.371512547251769e-05,4.0895364509196956e-05,4.0389031710219576e-05,0.004635005071759224,0.0011413391795940698,0.0015777656168211253,0.00034068568784277885,0.0001394148770486936
95,0.0001542333164252341,0.004794007888995111,2.9721795678138734,0.00019510014317347668,0.00015911678565316834,0.0016221606463659554,0.0006632420292589814,0.00016689219628460706,0.00012887835837318561,6.480945181846619,0.006093501835130155,0.0005060346273239703,0.002403443958610296,0.0028297267272137105
96,5.0965892478416214e-05,1.355174708366394,1.8056525766849518,0.00037020007439423356,0.0003069431477342733,0.006332700187340379,0.0004146378807490692,0.00015726273122709244,0.00027968441718257965,0.011636001756414771,0.0013481436064466835,0.001291839120676741,0.0014841062307823449,0.00037368934426922355
97,0.0012657576065976174,1.1614333868026734,8.393583726882934,0.00305013315519318,0.0034251862904056906,0.002190134022384882,0.003212857630569488,0.0034527336014434696,0.00111479299957864,0.3011691391468048,0.015471188677474856,2.2389654397964476,0.05315129719674587,0.006931482348591089
