gene_identifier,n_counts,n_cells
Lnx1,364.0,201
Qpct,683.0,368
OTTMUSG00000016609_loc3,1866.0,862
Dynlrb1,6703.0,1407
Zcchc12,761.0,205
Ndufv3,6788.0,1367
Ccdc28a,608.0,308
Cdk5rap1,308.0,181
Ggact,250.0,151
Gstm5,7429.0,1325
Acadm,1232.0,614
Fxyd6,2900.0,486
Prmt2,1104.0,520
Prpf38a,920.0,460
Commd6,3711.0,1012
Hnmt,1066.0,481
2900011O08Rik,2733.0,760
Snx6,2556.0,903
Psmd10,1467.0,627
Tmem41a,282.0,151
Gm15421,6345.0,1319
Mospd1,763.0,404
Ndufa5,9163.0,1387
Cox7b,13376.0,1412
Zfp931,2152.0,798
Rnasek,8229.0,1335
Cacybp,3117.0,962
Uqcrh,18821.0,1553
Hcfc1r1,3954.0,1192
Tmsb15l,413.0,207
1110032A03Rik,1282.0,578
Sms,1910.0,601
Ndufb10,7542.0,1362
Araf,3935.0,1146
Eif4a2,17362.0,1551
Ndufa8,5643.0,1258
Atp5j2,15743.0,1517
Tango2,1925.0,655
1700037H04Rik,959.0,448
Ndufab1,3864.0,1064
Ldhb,16826.0,1347
Atp5f1,11559.0,1455
