cell_ID,cell_type,n_counts,cellType,n_genes
300,eNeuron,11689.0,eNeuron,3820
301,eNeuron,17397.0,eNeuron,5184
302,eNeuron,17382.0,eNeuron,5085
303,eNeuron,9245.0,eNeuron,3350
304,eNeuron,8964.0,eNeuron,3483
305,eNeuron,12856.0,eNeuron,3929
306,eNeuron,28518.0,eNeuron,7365
307,eNeuron,11425.0,eNeuron,3952
308,eNeuron,20016.0,eNeuron,5432
309,eNeuron,16241.0,eNeuron,4144
310,eNeuron,10034.0,eNeuron,3560
311,eNeuron,15576.0,eNeuron,4723
312,eNeuron,20385.0,eNeuron,5197
313,eNeuron,20939.0,eNeuron,5659
314,eNeuron,13852.0,eNeuron,4188
315,eNeuron,10193.0,eNeuron,3572
316,eNeuron,10593.0,eNeuron,3472
317,eNeuron,13992.0,eNeuron,3417
318,eNeuron,8866.0,eNeuron,3436
319,eNeuron,8689.0,eNeuron,3475
320,eNeuron,6228.0,eNeuron,2818
321,eNeuron,15475.0,eNeuron,4760
322,eNeuron,11571.0,eNeuron,3983
323,eNeuron,11806.0,eNeuron,3814
324,eNeuron,24289.0,eNeuron,5601
325,eNeuron,11702.0,eNeuron,4259
326,eNeuron,10648.0,eNeuron,2780
327,eNeuron,9233.0,eNeuron,3662
328,eNeuron,8724.0,eNeuron,2767
329,eNeuron,8094.0,eNeuron,2972
330,eNeuron,7782.0,eNeuron,3159
331,eNeuron,7945.0,eNeuron,3500
332,eNeuron,18417.0,eNeuron,3843
333,eNeuron,7884.0,eNeuron,3175
334,eNeuron,15355.0,eNeuron,4764
335,eNeuron,13277.0,eNeuron,4385
336,eNeuron,9924.0,eNeuron,3806
337,eNeuron,8994.0,eNeuron,3435
338,eNeuron,6980.0,eNeuron,2907
339,eNeuron,7444.0,eNeuron,3052
340,eNeuron,12857.0,eNeuron,3302
341,eNeuron,8689.0,eNeuron,2773
342,eNeuron,30883.0,eNeuron,6396
343,eNeuron,40726.0,eNeuron,6920
344,eNeuron,18863.0,eNeuron,5355
345,eNeuron,18666.0,eNeuron,4512
346,eNeuron,18471.0,eNeuron,5563
347,eNeuron,8343.0,eNeuron,3220
348,eNeuron,8140.0,eNeuron,3110
349,eNeuron,11321.0,eNeuron,3746
350,eNeuron,40673.0,eNeuron,7411
351,eNeuron,33126.0,eNeuron,6162
352,eNeuron,17467.0,eNeuron,5496
353,eNeuron,16460.0,eNeuron,4305
354,eNeuron,18402.0,eNeuron,5360
355,eNeuron,17709.0,eNeuron,4651
356,eNeuron,19038.0,eNeuron,5030
357,eNeuron,25772.0,eNeuron,6380
358,eNeuron,17686.0,eNeuron,4950
359,eNeuron,19820.0,eNeuron,5307
360,eNeuron,32747.0,eNeuron,6230
361,eNeuron,31134.0,eNeuron,6067
362,eNeuron,17179.0,eNeuron,5230
363,eNeuron,17324.0,eNeuron,4883
364,eNeuron,25394.0,eNeuron,5880
365,eNeuron,27897.0,eNeuron,6089
366,eNeuron,16245.0,eNeuron,4086
367,eNeuron,13657.0,eNeuron,3852
368,eNeuron,14017.0,eNeuron,4461
369,eNeuron,22433.0,eNeuron,5736
370,eNeuron,25867.0,eNeuron,5645
371,eNeuron,12741.0,eNeuron,4181
372,eNeuron,12622.0,eNeuron,3619
373,eNeuron,22688.0,eNeuron,5716
374,eNeuron,14216.0,eNeuron,3994
375,eNeuron,19814.0,eNeuron,5281
376,eNeuron,13292.0,eNeuron,3532
377,eNeuron,8846.0,eNeuron,2623
378,eNeuron,12190.0,eNeuron,3731
379,eNeuron,10381.0,eNeuron,3877
380,eNeuron,8612.0,eNeuron,3437
381,eNeuron,6727.0,eNeuron,2850
382,eNeuron,7692.0,eNeuron,3053
383,eNeuron,9249.0,eNeuron,3124
384,eNeuron,7413.0,eNeuron,3132
385,eNeuron,7439.0,eNeuron,2990
386,eNeuron,7586.0,eNeuron,2889
387,eNeuron,10834.0,eNeuron,3705
388,eNeuron,8741.0,eNeuron,2432
389,eNeuron,11933.0,eNeuron,3585
390,eNeuron,6126.0,eNeuron,2634
391,eNeuron,11593.0,eNeuron,3740
392,eNeuron,11202.0,eNeuron,4092
393,eNeuron,11328.0,eNeuron,3133
394,eNeuron,7315.0,eNeuron,2583
395,eNeuron,15137.0,eNeuron,3827
396,eNeuron,19982.0,eNeuron,5224
397,eNeuron,9880.0,eNeuron,3619
398,eNeuron,12857.0,eNeuron,3937
399,eNeuron,11678.0,eNeuron,3391
400,eNeuron,10713.0,eNeuron,3070
401,eNeuron,14086.0,eNeuron,3627
402,eNeuron,16555.0,eNeuron,3857
403,eNeuron,22488.0,eNeuron,5236
404,eNeuron,14647.0,eNeuron,4397
405,eNeuron,35314.0,eNeuron,6531
406,eNeuron,49034.0,eNeuron,7675
407,eNeuron,18293.0,eNeuron,4579
408,eNeuron,31459.0,eNeuron,6453
409,eNeuron,29770.0,eNeuron,5981
410,eNeuron,45800.0,eNeuron,6657
411,eNeuron,19268.0,eNeuron,3807
412,eNeuron,41547.0,eNeuron,7540
413,eNeuron,17296.0,eNeuron,3822
414,eNeuron,22271.0,eNeuron,5564
415,eNeuron,20995.0,eNeuron,5633
416,eNeuron,32285.0,eNeuron,5691
417,eNeuron,33238.0,eNeuron,5719
418,eNeuron,35391.0,eNeuron,5695
419,eNeuron,17235.0,eNeuron,4648
420,eNeuron,15859.0,eNeuron,3979
421,eNeuron,23438.0,eNeuron,4825
422,eNeuron,20030.0,eNeuron,4330
423,eNeuron,20620.0,eNeuron,4200
424,eNeuron,17536.0,eNeuron,3231
425,eNeuron,18389.0,eNeuron,4193
426,eNeuron,14103.0,eNeuron,3684
427,eNeuron,29316.0,eNeuron,6032
428,eNeuron,33680.0,eNeuron,6545
429,eNeuron,22786.0,eNeuron,4787
430,eNeuron,27208.0,eNeuron,5083
431,eNeuron,16549.0,eNeuron,3990
432,eNeuron,20294.0,eNeuron,4745
433,eNeuron,18892.0,eNeuron,4824
434,eNeuron,16737.0,eNeuron,3709
435,eNeuron,24065.0,eNeuron,4641
436,eNeuron,11575.0,eNeuron,3320
437,eNeuron,20513.0,eNeuron,4110
438,eNeuron,18638.0,eNeuron,4433
439,eNeuron,19046.0,eNeuron,4406
440,eNeuron,13400.0,eNeuron,4216
441,eNeuron,17457.0,eNeuron,4615
442,eNeuron,13055.0,eNeuron,3573
443,eNeuron,14997.0,eNeuron,4265
444,eNeuron,16012.0,eNeuron,4836
445,eNeuron,17337.0,eNeuron,4222
446,eNeuron,12975.0,eNeuron,3000
447,eNeuron,15452.0,eNeuron,4813
448,eNeuron,25343.0,eNeuron,4966
449,eNeuron,16087.0,eNeuron,4571
450,eNeuron,18718.0,eNeuron,5181
451,eNeuron,22392.0,eNeuron,4997
452,eNeuron,26002.0,eNeuron,5549
453,eNeuron,21521.0,eNeuron,5315
454,eNeuron,23891.0,eNeuron,5667
455,eNeuron,12146.0,eNeuron,3825
456,eNeuron,14289.0,eNeuron,4318
457,eNeuron,29805.0,eNeuron,6669
458,eNeuron,20035.0,eNeuron,5599
459,eNeuron,12574.0,eNeuron,4074
460,eNeuron,17804.0,eNeuron,4880
461,eNeuron,23487.0,eNeuron,5885
462,eNeuron,25601.0,eNeuron,5710
463,eNeuron,26104.0,eNeuron,5907
464,eNeuron,20155.0,eNeuron,5415
465,eNeuron,26524.0,eNeuron,5934
466,eNeuron,23935.0,eNeuron,5654
467,eNeuron,15906.0,eNeuron,4189
468,eNeuron,20988.0,eNeuron,5005
469,eNeuron,11494.0,eNeuron,3710
470,eNeuron,15322.0,eNeuron,4015
471,eNeuron,16369.0,eNeuron,4652
472,eNeuron,22970.0,eNeuron,4346
473,eNeuron,20983.0,eNeuron,5325
474,eNeuron,19674.0,eNeuron,4643
475,eNeuron,12842.0,eNeuron,3938
476,eNeuron,24556.0,eNeuron,5839
477,eNeuron,15512.0,eNeuron,4783
478,eNeuron,16552.0,eNeuron,3605
479,eNeuron,15542.0,eNeuron,3650
480,eNeuron,20221.0,eNeuron,5496
481,eNeuron,20331.0,eNeuron,4651
482,eNeuron,23288.0,eNeuron,5258
483,eNeuron,13948.0,eNeuron,4594
484,eNeuron,13771.0,eNeuron,3956
485,eNeuron,7678.0,eNeuron,3103
486,eNeuron,12260.0,eNeuron,4059
487,eNeuron,8856.0,eNeuron,3266
488,eNeuron,6479.0,eNeuron,2637
489,eNeuron,15105.0,eNeuron,4768
490,eNeuron,11656.0,eNeuron,3672
491,eNeuron,12796.0,eNeuron,3875
492,eNeuron,8858.0,eNeuron,3142
493,eNeuron,8382.0,eNeuron,3151
494,eNeuron,7958.0,eNeuron,3086
495,eNeuron,11125.0,eNeuron,2870
496,eNeuron,8076.0,eNeuron,2988
497,eNeuron,7497.0,eNeuron,2882
498,eNeuron,8893.0,eNeuron,3584
499,eNeuron,11180.0,eNeuron,4111
500,eNeuron,10231.0,eNeuron,3624
501,eNeuron,20870.0,eNeuron,4330
502,eNeuron,18715.0,eNeuron,5416
503,eNeuron,12284.0,eNeuron,3972
504,eNeuron,10614.0,eNeuron,3743
505,eNeuron,11424.0,eNeuron,3978
506,eNeuron,11768.0,eNeuron,3710
507,eNeuron,12113.0,eNeuron,4178
508,eNeuron,20206.0,eNeuron,5030
509,eNeuron,11901.0,eNeuron,4194
510,eNeuron,8243.0,eNeuron,3184
511,eNeuron,14205.0,eNeuron,4592
512,eNeuron,16150.0,eNeuron,4660
513,eNeuron,10215.0,eNeuron,3568
514,eNeuron,11413.0,eNeuron,2901
515,eNeuron,12209.0,eNeuron,4198
516,eNeuron,14382.0,eNeuron,4022
517,eNeuron,16887.0,eNeuron,4829
518,eNeuron,10589.0,eNeuron,3813
519,eNeuron,11208.0,eNeuron,3855
520,eNeuron,17807.0,eNeuron,4899
521,eNeuron,14023.0,eNeuron,4656
522,eNeuron,12812.0,eNeuron,4071
523,eNeuron,15589.0,eNeuron,4634
524,eNeuron,15880.0,eNeuron,4551
525,eNeuron,13961.0,eNeuron,4484
526,eNeuron,19241.0,eNeuron,5398
527,eNeuron,17794.0,eNeuron,4891
528,eNeuron,15356.0,eNeuron,4319
529,eNeuron,14391.0,eNeuron,4458
530,eNeuron,16355.0,eNeuron,4235
531,eNeuron,15929.0,eNeuron,4472
532,eNeuron,19918.0,eNeuron,5210
533,eNeuron,25385.0,eNeuron,5480
534,eNeuron,9537.0,eNeuron,3851
535,eNeuron,20261.0,eNeuron,5435
536,eNeuron,14698.0,eNeuron,4387
537,eNeuron,18778.0,eNeuron,4512
538,eNeuron,8575.0,eNeuron,2535
539,eNeuron,11272.0,eNeuron,3674
540,eNeuron,16090.0,eNeuron,4787
541,eNeuron,22972.0,eNeuron,5294
542,eNeuron,20555.0,eNeuron,5410
543,eNeuron,20447.0,eNeuron,5809
544,eNeuron,23940.0,eNeuron,5480
545,eNeuron,29872.0,eNeuron,6222
546,eNeuron,22518.0,eNeuron,5533
547,eNeuron,10436.0,eNeuron,3819
548,eNeuron,20500.0,eNeuron,5704
549,eNeuron,17208.0,eNeuron,4788
550,eNeuron,8292.0,eNeuron,3173
551,eNeuron,16396.0,eNeuron,4553
552,eNeuron,11076.0,eNeuron,3791
553,eNeuron,18815.0,eNeuron,5388
554,eNeuron,9948.0,eNeuron,3449
555,eNeuron,9130.0,eNeuron,3274
556,eNeuron,24680.0,eNeuron,5383
557,eNeuron,15617.0,eNeuron,5156
558,eNeuron,20614.0,eNeuron,5334
559,eNeuron,9347.0,eNeuron,3714
560,eNeuron,7856.0,eNeuron,3307
561,eNeuron,9287.0,eNeuron,3592
562,eNeuron,7334.0,eNeuron,2950
563,eNeuron,14320.0,eNeuron,4172
564,Olig,5374.0,Olig,1577
565,Olig,23508.0,Olig,4288
566,Olig,36376.0,Olig,5792
567,Olig,23606.0,Olig,3910
568,Olig,27995.0,Olig,3860
569,Olig,17002.0,Olig,3785
570,Olig,24504.0,Olig,4896
571,Olig,14607.0,Olig,2966
572,Olig,20305.0,Olig,3114
573,Olig,15442.0,Olig,3466
574,Olig,17733.0,Olig,3723
575,Olig,5668.0,Olig,1715
576,Olig,9746.0,Olig,2965
577,Olig,15257.0,Olig,3579
578,Olig,7604.0,Olig,2825
579,Olig,10689.0,Olig,3333
580,Olig,12339.0,Olig,3418
581,Olig,12156.0,Olig,3562
582,Olig,5581.0,Olig,2082
583,Olig,12834.0,Olig,3357
584,Olig,8486.0,Olig,3076
585,Olig,13082.0,Olig,3686
586,Olig,6841.0,Olig,2166
587,Olig,9302.0,Olig,2907
588,Olig,3345.0,Olig,1502
589,Olig,9331.0,Olig,2784
590,Olig,8247.0,Olig,2698
591,Olig,4131.0,Olig,1948
592,Olig,5871.0,Olig,1827
593,Olig,9388.0,Olig,2734
594,Olig,6524.0,Olig,2344
595,Olig,13119.0,Olig,2563
596,Olig,13610.0,Olig,2735
597,Olig,13917.0,Olig,2933
598,Olig,32849.0,Olig,3925
599,Olig,23214.0,Olig,3678
600,Olig,31752.0,Olig,3540
601,Olig,18980.0,Olig,3013
602,Olig,43937.0,Olig,5295
603,Olig,14544.0,Olig,3646
604,Olig,26466.0,Olig,5716
605,Olig,22038.0,Olig,4485
606,Olig,14300.0,Olig,3102
607,Olig,28244.0,Olig,5019
608,Olig,23638.0,Olig,3810
609,Olig,14769.0,Olig,4683
610,Olig,19551.0,Olig,5183
611,Olig,11496.0,Olig,3433
612,Olig,21868.0,Olig,4970
613,Olig,7404.0,Olig,2698
614,Olig,5840.0,Olig,2259
615,Olig,8526.0,Olig,2954
616,Olig,10393.0,Olig,2714
617,Olig,16772.0,Olig,5411
618,Olig,10782.0,Olig,3247
619,Olig,8337.0,Olig,2767
620,Olig,7908.0,Olig,2638
621,Olig,4233.0,Olig,1922
622,Olig,8040.0,Olig,2670
623,Olig,6114.0,Olig,2286
624,Olig,2778.0,Olig,1340
