gene_identifier,n_counts,n_cells
Dlx1,224.0,57
Dmap1,529.0,65
Dmpk,264.0,61
Dmrt2,209.0,56
Dmrta1,223.0,58
Dmrta2,173.0,55
Dmrtb1,175.0,59
Dmxl2,268.0,60
Dna2,94.0,40
Dnah2,206.0,53
Dnah9,117.0,47
Dnaic1,174.0,52
Dnaic2,161.0,53
Dnaja4,305.0,64
Dnajb1,272.0,60
Dnajb12,494.0,69
Dnajb5,1375.0,67
Dnajc13,209.0,54
Dnajc18,209.0,58
Dnajc22,124.0,50
Dnal1,229.0,58
Dnmbp,234.0,57
Dnmt1,227.0,58
Dnmt3b,219.0,56
Dntt,156.0,53
Dock10,184.0,54
Dock3,673.0,66
Dolk,264.0,60
Dpcd,90.0,37
Dpcr1,295.0,62
Dpf1,673.0,64
Dph7,163.0,49
Dpp7,323.0,60
Dpt,225.0,60
Dpy19l4,153.0,49
Dpysl5,371.0,59
Dqx1,181.0,56
Drc1,237.0,54
Drd2,123.0,47
Drg2,279.0,59
Dsc1,180.0,54
Dscam,531.0,68
Dsg1a,114.0,48
Dsg4,190.0,60
Dtl,190.0,57
Dtx1,469.0,61
Dtx3,1133.0,69
Duox1,164.0,48
Dus3l,232.0,56
Dusp1,335.0,59
Dusp11,196.0,53
Dusp14,396.0,62
Dusp18,210.0,56
Dusp26,216.0,63
Dusp6,420.0,64
Dvl1,514.0,66
Dvl2,141.0,46
Dvl3,487.0,65
Dync1li1,542.0,64
Dyrk3,241.0,60
Dysf,168.0,50
E2f7,145.0,56
E2f8,236.0,60
E4f1,259.0,60
Eapp,164.0,51
Ears2,155.0,50
Ebf1,161.0,46
Ebf4,123.0,43
Ebna1bp2,236.0,60
Ebp,118.0,44
Ecel1,124.0,50
Echdc3,221.0,55
Ect2l,145.0,48
Edem3,108.0,52
Edil3,263.0,60
Ednra,258.0,59
Eef1d,368.0,66
Eef2k,244.0,57
Efcab12,243.0,59
Efcab14,116.0,42
Efcab5,176.0,55
Efcab6,137.0,48
Efhd1,224.0,56
Efna2,308.0,60
Efna5,131.0,44
Efr3b,478.0,63
Eftud2,531.0,65
Egf,185.0,56
Egr2,476.0,64
Ehbp1,358.0,60
Ehd2,125.0,45
Eif1a,191.0,60
Eif2b5,228.0,58
Eif2s1,196.0,52
Eif2s3x,179.0,56
Eif3l,637.0,70
Eif4h,860.0,67
Eif6,392.0,64
Elavl4,397.0,62
Elf2,149.0,52
Elfn2,347.0,63
Elk1,360.0,66
Elk4,241.0,61
Elmod2,116.0,43
Elovl3,199.0,55
Elovl4,338.0,62
Elovl6,140.0,44
Elp2,383.0,63
Emc10,390.0,62
Emc3,435.0,67
Eme2,378.0,64
Eml6,186.0,55
Emx2,208.0,59
En2,233.0,58
Enam,146.0,50
Endov,208.0,53
Enox2,104.0,44
Enpp3,260.0,59
Enpp4,218.0,61
Entpd8,179.0,54
Eogt,191.0,51
Ep400,212.0,61
Epg5,104.0,47
Epha2,185.0,54
